game_id,offense,last_drive_q2_clock,last_drive_q2_play_id,last_drive_q2,last_drive_end_event_q2,next_drive_q3_play_id,next_drive_q3,next_drive_end_event_q3
20047,MOUN,01:41,3952467,5.0,TOUCHDOWN,3953141,6.0,INTERCEPTION
20048,ALUN,04:12,3943604,7.0,FIELD GOAL,3944446,8.0,TOUCHDOWN
20048,GAME,00:33,3943807,8.0,END OF HALF,3944246,9.0,PUNT
20049,VAHI,03:15,3952022,6.0,PUNT,3953159,7.0,DOWNS
20049,VAOD,01:53,3952279,6.0,FIELD GOAL,3952859,7.0,PUNT
20050,FLAT,01:06,3944154,5.0,FIELD GOAL,3944937,6.0,TOUCHDOWN
20050,GASO,01:45,3943971,4.0,PUNT,3944703,5.0,PUNT
20051,IDBO,00:48,3936613,7.0,TOUCHDOWN,3936694,8.0,TOUCHDOWN
20051,TXEP,00:07,3936649,9.0,END OF HALF,3936717,10.0,FUMBLE
20052,COAF,00:12,3943138,8.0,END OF HALF,3943773,9.0,PUNT
20052,MDNA,01:09,3943027,6.0,PUNT,3943594,7.0,PUNT
20053,MIST,04:04,3938687,7.0,TOUCHDOWN,3939240,8.0,MISSED FG
20053,OHYO,00:17,3938928,7.0,END OF HALF,3938984,8.0,TOUCHDOWN
20054,ILNO,03:12,3942089,6.0,PUNT,3942572,7.0,TOUCHDOWN
20054,WYUN,08:18,3941569,6.0,TOUCHDOWN,3943239,7.0,TOUCHDOWN
20055,KYWE,02:07,3937981,5.0,TOUCHDOWN,3938598,6.0,DOWNS
20055,NYWP,00:30,3938077,5.0,END OF HALF,3938238,6.0,TOUCHDOWN
20056,NCWE,01:47,3950328,8.0,PUNT,3951426,9.0,PUNT
20056,OKUN,00:24,3950471,8.0,END OF HALF,3951062,9.0,TOUCHDOWN
20057,MIUN,01:22,3953089,6.0,PUNT,3953921,7.0,TOUCHDOWN
20057,WAUN,00:12,3953295,7.0,END OF HALF,3954287,8.0,FIELD GOAL
20058,OHKS,02:41,3938621,7.0,TOUCHDOWN,3939010,8.0,TOUCHDOWN
20058,VAMI,00:45,3938755,7.0,END OF HALF,3938811,8.0,FIELD GOAL
20059,COST,00:47,3957480,7.0,END OF HALF,3958281,8.0,INTERCEPTION
20059,TNVA,01:57,3957162,6.0,TOUCHDOWN,3957987,7.0,PUNT
20060,ORPS,01:07,3947844,7.0,INTERCEPTION,3948352,8.0,DOWNS
20060,WAST,00:30,3947968,8.0,FIELD GOAL,3949003,9.0,DOWNS
20061,TXMU,02:41,3953162,9.0,PUNT,3953899,10.0,PUNT
20061,TXNO,01:27,3953419,10.0,END OF HALF,3954113,11.0,PUNT
20062,ILNW,01:17,3938493,6.0,PUNT,3938807,7.0,FIELD GOAL
20062,INST,00:11,3938638,5.0,END OF HALF,3938680,6.0,PUNT
20063,NCCR,01:43,3951365,7.0,PUNT,3952402,8.0,TOUCHDOWN
20063,NCGW,00:06,3951732,7.0,END OF HALF,3951897,8.0,PUNT
20064,ILUN,01:17,3937461,6.0,END OF HALF,3937736,7.0,TOUCHDOWN
20064,VAUN,03:58,3937361,6.0,TOUCHDOWN,3937941,7.0,TOUCHDOWN
20065,IDST,00:43,3960035,5.0,END OF HALF,3960176,6.0,FIELD GOAL
20065,NVRE,03:17,3959534,5.0,TOUCHDOWN,3960736,6.0,PUNT
20066,IDUN,01:49,3952477,7.0,TOUCHDOWN,3953519,8.0,TOUCHDOWN
20066,INUN,00:20,3953097,5.0,END OF HALF,3953262,6.0,TOUCHDOWN
20067,TXHO,00:10,3951059,6.0,END OF HALF,3951207,7.0,TOUCHDOWN
20067,TXRI,05:14,3949986,6.0,TOUCHDOWN,3952324,7.0,PUNT
20068,HIUN,00:46,3958958,5.0,END OF HALF,3959461,6.0,INTERCEPTION
20068,ORST,03:11,3958535,5.0,PUNT,3959496,6.0,TOUCHDOWN
20069,GAST,00:56,3951264,7.0,PUNT,3952063,8.0,PUNT
20069,NCUN,00:12,3951432,7.0,END OF HALF,3951802,8.0,MISSED FG
20070,FLSO,01:31,3939708,7.0,PUNT,3940053,8.0,DOWNS
20070,FLUN,00:35,3939877,8.0,END OF HALF,3940175,9.0,INTERCEPTION
20071,NDUN,00:06,3936755,7.0,END OF HALF,3936804,8.0,FIELD GOAL
20071,UTST,01:02,3936745,6.0,PUNT,3936794,7.0,INTERCEPTION
20072,MIEA,04:40,3953743,5.0,PUNT,3954892,6.0,PUNT
20072,WIUN,01:55,3954326,6.0,END OF HALF,3955275,7.0,FIELD GOAL
20073,KYEA,00:47,3953881,6.0,END OF HALF,3954024,7.0,PUNT
20073,KYLO,05:41,3952788,6.0,TOUCHDOWN,3954577,7.0,PUNT
20074,CAUN,00:05,3944317,7.0,END OF HALF,3945002,8.0,PUNT
20074,TXCU,00:28,3944182,7.0,TOUCHDOWN,3944412,8.0,TOUCHDOWN
